prefix,total_count,entropy,max_byte,max_count,nz
0a0ae984ade88c82,1,0,e7,1,255
0a0ae984ade88c82e7,1,0,97,1,255
0a0ae984b1,2,0,e9,2,255
0a0ae984b1e9,1,0,99,1,255
0a0ae984b1e999,1,0,bd,1,255
0a0ae984b1e999bd,1,0,e7,1,255
0a0ae984b1e999bde7,1,0,b8,1,255
0a0ae989,2,0,a4,2,255
0a0ae989a4,2,0,e2,2,255
0a0ae989a4e2,1,0,96,1,255
0a0ae989a4e296,1,0,a1,1,255
0a0ae989a4e296a1,1,0,e9,1,255
0a0ae989a4e296a1e9,1,0,b3,1,255
0a0ae98c,4,0,a2,4,255
0a0ae98ca2,4,0,e5,4,255
0a0ae98ca2e5,2,0,a1,2,255
0a0ae98ca2e5a1,2,0,98,2,255
0a0ae98ca2e5a198,2,1,e4,1,254
0a0ae98ca2e5a198e4,1,0,ba,1,255
0a0ae98ca2e5a198e6,1,0,9d,1,255
0a0ae995,4,0,b7,4,255
0a0ae995b7,4,0,e6,4,255
0a0ae995b7e6,2,0,b2,2,255
0a0ae995b7e6b2,2,0,99,2,255
0a0ae995b7e6b299,2,1,e6,1,254
0a0ae995b7e6b299e6,1,0,9c,1,255
0a0ae995b7e6b299e9,1,0,86,1,255
0a0ae999,2,0,b6,2,255
0a0ae999b6,2,0,e6,2,255
0a0ae999b6e6,1,0,bd,1,255
0a0ae999b6e6bd,1,0,9b,1,255
0a0ae999b6e6bd9b,1,0,0a,1,255
0a0ae999b6e6bd9b0a,1,0,0a,1,255
0a0ae9a0,2,0,86,2,255
0a0ae9a086,2,0,e9,2,255
0a0ae9a086e9,1,0,99,1,255
0a0ae9a086e999,1,0,bd,1,255
0a0ae9a086e999bd,1,0,e8,1,255
0a0ae9a086e999bde8,1,0,8c,1,255
0a0ae9a1,2,0,a7,2,255
0a0ae9a1a7,2,0,e9,2,255
0a0ae9a1a7e9,1,0,9c,1,255
0a0ae9a1a7e99c,1,0,88,1,255
0a0ae9a1a7e99c88,1,0,e8,1,255
0a0ae9a1a7e99c88e8,1,0,80,1,255
